,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,_id,genre,imdbID,imdbId,imdbRating,imdbVotes,movielens_Id,sentiment_polarity,tmdbId,tomatoConsensus,tomatoFresh,tomatoImage,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoURL,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,predictedBO
2098,"Stephen Dorff, Chris Pontius, Erin Wasson, Alexandra Williams",4 wins &amp; 7 nominations.,1768416.0,"USA, UK, Italy, Japan",19 Apr 2011,Sofia Coppola,"[Comedy, Drama]","English, Italian",67.0,"After withdrawing to the Chateau Marmont, a passionless Hollywood actor reexamines his life when his eleven-year-old daughter surprises him with a visit.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1MzE1NDA0M15BMl5BanBnXkFtZTcwODM2MDY1Mw@@._V1_SX300.jpg,Focus Features,R,21 Jan 2011,True,97.0,Somewhere,movie,http://filminfocus.com/somewhere,Sofia Coppola,2010,58f85d9c0d39b85b3820837b,Drama,tt1421051,1421051,6.3,"36,295",81791,0.5375,39210.0,"It covers familiar territory for Sofia Coppola, but Somewhere remains a hypnotic, seductively pensive meditation on the nature of celebrity, anchored by charming performances from Stephen Dorff and Elle Fanning.",129,certified,71.0,6.6,182,53,http://www.rottentomatoes.com/m/somewhere_2010/,47.0,3.0,27150,21005329.0
2099,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling",Nominated for 2 Oscars. Another 14 wins &amp; 51 nominations.,294980434.0,"UK, USA",15 Apr 2011,David Yates,"[Adventure, Family, Fantasy]",English,65.0,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,19 Nov 2010,True,146.0,Harry Potter and the Deathly Hallows: Part 1,movie,http://www.HarryPotter.com/,"Steve Kloves (screenplay), J.K. Rowling (novel)",2010,58f85d9c0d39b85b3820837c,Action|Adventure|Fantasy|IMAX,tt0926084,926084,7.7,"339,209",81834,0.675,12444.0,"It can't help but feel like the prelude it is, but Deathly Hallows: Part I is a beautifully filmed, emotionally satisfying penultimate installment for the Harry Potter series.",203,certified,78.0,7.1,260,57,http://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_1/,85.0,4.1,349220,1749146.0
2100,"Juliette Binoche, William Shimell, Jean-Claude Carrière, Agathe Natanson",9 wins &amp; 22 nominations.,1337384.0,"France, Italy, Belgium, Iran",22 May 2012,Abbas Kiarostami,[Drama],"French, English, Italian",82.0,"In Tuscany to promote his latest book, a middle-aged British writer meets a French woman who leads him to the village of Lucignano. While there, a chance question reveals something deeper.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyODExNjExNV5BMl5BanBnXkFtZTcwMjMxNTI1NA@@._V1_SX300.jpg,Artificial Eye Film Co. Ltd,UNRATED,25 Mar 2011,True,106.0,Certified Copy,movie,http://www.ifcfilms.com/films/certified-copy,"Caroline Eliacheff (collaborator on screenplay), Abbas Kiarostami",2010,58f85d9c0d39b85b3820837a,Drama,tt1020773,1020773,7.2,"14,891",81786,0.341666666667,48303.0,"The main stars are absolutely perfect in this absorbing, existential drama that dissects human relationships.",107,certified,88.0,7.9,121,14,http://www.rottentomatoes.com/m/certified_copy/,70.0,3.6,6468,137324.0
2101,"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal",Won 4 Oscars. Another 101 wins &amp; 190 nominations.,138300000.0,"UK, USA, Australia",19 Apr 2011,Tom Hooper,"[Biography, Drama, History]",English,88.0,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg,The Weinstein Company,R,25 Dec 2010,True,118.0,The King's Speech,movie,http://www.kingsspeech.com/,David Seidler (screenplay),2010,58f85d9c0d39b85b3820837e,Drama,tt1504320,1504320,8.0,"515,370",81845,0.433333333333,45269.0,"Colin Firth gives a masterful performance in The King's Speech, a predictable but stylishly produced and rousing period drama.",251,certified,95.0,8.6,265,14,http://www.rottentomatoes.com/m/the_kings_speech/,92.0,4.3,142915,292979556.0
2102,"Bill Nighy, Emily Blunt, Rupert Grint, Rupert Everett",,117190.0,"UK, France",08 Feb 2011,Jonathan Lynn,"[Action, Comedy, Crime]",English,41.0,A hitman tries to retire but a beautiful thief may change his plans.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1ODIzNDYyMl5BMl5BanBnXkFtZTcwMTc1NDk5Mw@@._V1_SX300.jpg,Freestyle Releasing,PG-13,18 Jun 2010,True,98.0,Wild Target,movie,http://www.wildtargetmovie.com,"Lucinda Coxon (screenplay), Pierre Salvadori (film ""Cible émouvante"")",2010,58f85d9c0d39b85b3820837d,Comedy|Drama|Romance|Thriller,tt1235189,1235189,6.9,"30,404",81804,0.0979166666667,44147.0,An ineptly staged farce that dishonors the original film and squanders the comedic potential of its fine actors.,17,rotten,32.0,4.9,53,36,http://www.rottentomatoes.com/m/wild_target/,56.0,3.3,27175,138396624.0
2103,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",Won 2 Oscars. Another 69 wins &amp; 113 nominations.,93571803.0,USA,15 Mar 2011,David O. Russell,"[Biography, Drama, Sport]",English,79.0,"A look at the early years of boxer ""Irish"" Micky Ward and his brother who helped train him before going pro in the mid 1980s.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0ODk3MjM1MV5BMl5BanBnXkFtZTcwNzc1MDIwNA@@._V1_SX300.jpg,Paramount Pictures,R,17 Dec 2010,True,116.0,The Fighter,movie,http://www.TheFighterMovie.com/,"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Paul Tamasy (story), Eric Johnson (story), Keith Dorrington (story)",2010,58f85d9c0d39b85b38208380,Drama,tt0964517,964517,7.9,"279,796",81932,0.2,45317.0,"Led by a trio of captivating performances from Mark Wahlberg, Christian Bale, and Amy Adams, The Fighter is a solidly entertaining, albeit predictable, entry in the boxing drama genre.",213,certified,90.0,7.8,236,23,http://www.rottentomatoes.com/m/the-fighter/,89.0,4.1,120382,200100000.0
2104,"Josh Brolin, Pat Tillman, Mary Tillman, Russell Baer",5 wins &amp; 16 nominations.,798940.0,USA,01 Feb 2011,Amir Bar-Lev,"[Documentary, Biography, Mystery]",English,86.0,Pat Tillman never thought of himself as a hero. His choice to leave a multimillion-dollar football contract and join the military wasn't done for any reason other than he felt it was the ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NjA5OTA2OV5BMl5BanBnXkFtZTcwOTg4MDc1Mw@@._V1_SX300.jpg,The Weinstein Company,R,23 Jan 2010,True,94.0,The Tillman Story,movie,http://www.tillmanstory.com/,"Amir Bar-Lev, Mark Monroe",2010,58f85d9c0d39b85b38208381,Documentary,tt1568334,1568334,7.8,"4,043",82037,-0.0233333333333,43924.0,"Passionate, angry, and insightful, The Tillman Story offers a revealing portrait of its subject's inspiring life and untimely death.",78,certified,93.0,8.2,84,6,http://www.rottentomatoes.com/m/the_tillman_story/,91.0,4.1,3702,93300000.0
2105,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",Nominated for 1 Oscar. Another 9 wins &amp; 39 nominations.,200803309.0,USA,29 Mar 2011,"Nathan Greno, Byron Howard","[Animation, Adventure, Comedy]",English,71.0,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,Walt Disney Pictures,PG,24 Nov 2010,True,100.0,Tangled,movie,http://Disney.com/Tangled,"Dan Fogelman (screenplay), Jacob Grimm (based upon the fairy tale ""Rapunzel"" by), Wilhelm Grimm (based upon the fairy tale ""Rapunzel"" by)",2010,58f85d9c0d39b85b3820837f,Animation|Children|Comedy|Fantasy|Musical|Romance|IMAX,tt0398286,398286,7.8,"300,757",81847,0.453333333333,38757.0,"While far from Disney's greatest film, Tangled is a visually stunning, thoroughly entertaining addition to the studio's classic animated canon.",193,certified,89.0,7.5,216,23,http://www.rottentomatoes.com/m/tangled/,87.0,4.1,148719,796818.666667
2106,"Colin Farrell, Keira Knightley, David Thewlis, Anna Friel",1 nomination.,10484.0,"USA, UK",21 Feb 2012,William Monahan,"[Crime, Drama]",English,52.0,An ex-con with a reputation tries to go straight by working as a handy man for a reclusive actress but this is unfortunately not the wish of London's underground crime lord.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1OTk2NTI4NF5BMl5BanBnXkFtZTcwOTA5NTE5Ng@@._V1_SX300.jpg,IFC Films,R,26 Nov 2010,True,103.0,London Boulevard,movie,http://www.ifcfilms.com/films/london-boulevard,"William Monahan (screenplay), Ken Bruen (novel)",2010,58f85d9c0d39b85b38208383,Crime|Romance,tt1213648,1213648,6.2,"40,545",82093,0.216666666667,48838.0,"In spite of its spotless pedigree and a strong sense of visual style, London Boulevard stumbles over its frenetic pace and crowded, clichéd plot.",16,rotten,36.0,5.0,44,28,http://www.rottentomatoes.com/m/london-boulevard/,30.0,2.8,11372,1043419.0
2107,"Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed",1 nomination.,12000000.0,USA,22 Mar 2011,"Colin Strause, Greg Strause","[Action, Sci-Fi, Thriller]",English,26.0,"Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNDkwOTc5M15BMl5BanBnXkFtZTcwMTE2MTMwNA@@._V1_SX300.jpg,Rogue Pictures/Universal Studios,PG-13,12 Nov 2010,True,97.0,Skyline,movie,http://www.iamrogue.com/skyline,"Joshua Cordes, Liam O'Donnell",2010,58f85d9c0d39b85b38208384,Sci-Fi|Thriller,tt1564585,1564585,4.4,"76,957",82095,0.0553571428571,42684.0,"A middling sci-fi entry, Skyline offers proof that solid special effects alone cannot overcome a flat storyline filled with uninspired dialogue.",12,rotten,15.0,3.6,79,67,http://www.rottentomatoes.com/m/skyline_2010/,18.0,2.1,67121,87236.25
2108,"Kevin Spacey, Ruth Marshall, Graham Greene, Hannah Endicott-Douglas",Nominated for 1 Golden Globe. Another 1 win &amp; 1 nomination.,1039869.0,Canada,05 Apr 2011,George Hickenlooper,"[Biography, Comedy, Crime]",English,51.0,A hot shot Washington DC lobbyist and his protégé go down hard as their schemes to peddle influence lead to corruption and murder.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2NzQ4NDE2M15BMl5BanBnXkFtZTcwNDM0NzcwNA@@._V1_SX300.jpg,ATO Pictures,R,07 Jan 2011,True,108.0,Casino Jack,movie,http://casinojack-movie.com/,Norman Snider,2010,58f85d9c0d39b85b38208382,Comedy|Crime,tt1194417,1194417,6.2,"14,909",82053,0.283333333333,45324.0,"Kevin Spacey turns in one of his stronger performances, but Casino Jack is a disappointingly uneven fictionalized account of a fascinating true story.",36,rotten,38.0,5.4,95,59,http://www.rottentomatoes.com/m/casino-jack/,34.0,2.9,11548,12033702.0
2109,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter",Nominated for 1 Golden Globe. Another 1 win &amp; 16 nominations.,104383624.0,USA,08 Apr 2011,Michael Apted,"[Adventure, Family, Fantasy]",English,53.0,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjQ2MDQzMzExNl5BMl5BanBnXkFtZTcwMTYzOTc5Mw@@._V1_SX300.jpg,20th Century Fox,PG,10 Dec 2010,True,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,movie,http://www.narnia.com/,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Michael Petroni (screenplay), C.S. Lewis (novel)",2010,58f85d9c0d39b85b38208386,Adventure|Children|Fantasy,tt0980970,980970,6.3,"109,130",82169,0.537806637807,10140.0,"Its leisurely, businesslike pace won't win the franchise many new fans, but Voyage of the Dawn Treader restores some of the Narnia franchise's lost luster with strong performances and impressive special effects.",79,rotten,49.0,5.7,160,81,http://www.rottentomatoes.com/m/chronicles_of_narnia_the_voyage_of_the_dawn_treader/,58.0,3.5,157011,33335670.0
2110,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria",Nominated for 2 Golden Globes. Another 1 win &amp; 4 nominations.,33299999.0,USA,01 Mar 2011,Edward Zwick,"[Comedy, Drama, Romance]",English,55.0,A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxOTczODEyMF5BMl5BanBnXkFtZTcwMDc0NDY4Mw@@._V1_SX300.jpg,20th Century Fox,R,24 Nov 2010,True,112.0,Love &amp; Other Drugs,movie,http://www.loveandotherdrugsthemovie.com/,"Charles Randolph (screenplay), Edward Zwick (screenplay), Marshall Herskovitz (screenplay), Jamie Reidy (book)",2010,58f85d9c0d39b85b38208385,Comedy|Drama|Romance,tt0758752,758752,6.7,"146,098",82167,0.158333333333,43347.0,"It's a pleasure to see Hollywood produce a romance this refreshingly adult, but Love and Other Drugs struggles to find a balance between its disparate plot elements.",78,rotten,49.0,5.8,160,82,http://www.rottentomatoes.com/m/love-and-other-drugs/,53.0,3.3,74002,104354205.0
2111,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton",Nominated for 3 Golden Globes. Another 3 wins &amp; 3 nominations.,67631157.0,"USA, France, Italy",22 Mar 2011,Florian Henckel von Donnersmarck,"[Action, Romance, Thriller]","English, French, Italian, Russian, Spanish",37.0,"Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMzc3OTkwMV5BMl5BanBnXkFtZTcwMjc0MTgwNA@@._V1_SX300.jpg,Columbia Pictures,PG-13,10 Dec 2010,True,103.0,The Tourist,movie,http://www.sonypictures.com/movies/thetourist/,"Florian Henckel von Donnersmarck (screenplay), Christopher McQuarrie (screenplay), Julian Fellowes (screenplay), Jérôme Salle (motion picture ""Anthony Zimmer"")",2010,58f85d9c0d39b85b38208387,Drama|Thriller,tt1243957,1243957,6.0,"180,244",82202,0.275,37710.0,"The scenery and the stars are undeniably beautiful, but they can't make up for The Tourist's slow, muddled plot, or the lack of chemistry between Johnny Depp and Angelina Jolie.",33,rotten,20.0,4.3,167,134,http://www.rottentomatoes.com/m/tourist/,42.0,3.0,94539,67905760.0
2112,"Onni Tommila, Jorma Tommila, Tommi Korpela, Rauno Juvonen",12 wins &amp; 2 nominations.,236210.0,"Finland, Norway, France, Sweden",25 Oct 2011,Jalmari Helander,"[Adventure, Fantasy, Horror]","Finnish, English",71.0,"In the depths of the Korvatunturi mountains, 486 metres deep, lies the closest ever guarded secret of Christmas. The time has come to dig it up! This Christmas everyone will believe in Santa Claus.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4NzkxMDM4N15BMl5BanBnXkFtZTcwMTI1NzQwNA@@._V1_SX300.jpg,Oscilloscope Pictures,R,03 Dec 2010,True,84.0,Rare Exports: A Christmas Tale,movie,http://www.rareexportsmovie.com/en,"Jalmari Helander, Jalmari Helander (based on the original idea by), Juuso Helander (based on the original idea by), Petri Jokiranta (dramaturge), Sami Parkkinen (dramaturge)",2010,58f85d9c0d39b85b38208388,Action|Comedy,tt1401143,1401143,6.7,"20,191",82242,0.25,48395.0,Rare Exports is an unexpectedly delightful crossbreed of deadpan comedy and Christmas horror.,85,certified,89.0,7.0,96,11,http://www.rottentomatoes.com/m/rare_exports/,71.0,3.6,12662,237676.0
2113,"Danielle Harris, Tony Todd, Kane Hodder, Parry Shen",4 nominations.,52604.0,USA,01 Feb 2011,Adam Green,"[Comedy, Horror, Thriller]",English,49.0,"Marybeth escapes the clutches of the bayou-butcher Victor Crowley and returns to the swamp with an army of hunters and gunmen, determined to end Crowley's reign of horror once and for all.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1OTI5MzQxOF5BMl5BanBnXkFtZTcwMjUwMjg4Mw@@._V1_SX300.jpg,Dark Sky Films,R,01 Nov 2010,True,85.0,Hatchet II,movie,http://www.hatchet2.com/,Adam Green,2010,58f85d9c0d39b85b38208389,Comedy|Horror|Thriller,tt1270835,1270835,5.5,"9,560",82366,0.166666666667,43919.0,"Funnier and more gleefully gory than most slasher sequels, Hatchet II aims for so-bad-it's-good territory, but can't quite hack it.",12,rotten,36.0,4.2,33,21,http://www.rottentomatoes.com/m/hatchet_ii/,35.0,2.8,2805,93732.0
2114,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe",1 nomination.,578382.0,USA,29 Mar 2011,Andrew Jarecki,"[Crime, Drama, Mystery]",English,57.0,"Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwMjIyMTc2Nl5BMl5BanBnXkFtZTcwOTQyMzc5Mw@@._V1_SX300.jpg,Magnolia Pictures,R,09 Dec 2010,True,101.0,All Good Things,movie,http://www.magpictures.com/allgoodthings/,"Marcus Hinchey, Marc Smerling",2010,58f85d9c0d39b85b3820838a,Drama|Mystery|Thriller,tt1175709,1175709,6.3,"42,232",82378,0.07,46503.0,"It's well-acted, and the true story that inspired it offers plenty of drama -- which is why it's so frustrating that All Good Things is so clichéd and frustratingly ambiguous.",31,rotten,33.0,5.5,93,62,http://www.rottentomatoes.com/m/all_good_things/,37.0,3.0,38927,578570.0
2115,"Anthony Mackie, Jamara Griffin, Sadiq Afif, Shango Rich",8 wins &amp; 18 nominations.,75343.0,USA,01 Feb 2011,Tanya Hamilton,"[Drama, Romance]",English,65.0,"In 1976, complex political and emotional forces are set in motion when a young man returns to the race-torn Philadelphia neighborhood where he came of age during the Black Power movement.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTIyNDEyNjY3NF5BMl5BanBnXkFtZTcwNjY0MjE3Mw@@._V1_SX300.jpg,Magnolia Picutres,R,03 Dec 2010,True,90.0,Night Catches Us,movie,http://www.nightcatchesus.com/,Tanya Hamilton,2010,58f85d9c0d39b85b3820838b,Drama|Romance,tt0775543,775543,6.3,"1,293",82380,0.268333333333,48833.0,"A bold, original debut, Night Catches Us personalizes a tumultuous period in American history thanks to strong performances from Anthony Mackie and Kerry Washington.",42,certified,81.0,6.7,52,10,http://www.rottentomatoes.com/m/night_catches_us/,66.0,3.5,1317,101773.8125
2116,"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",Nominated for 10 Oscars. Another 37 wins &amp; 148 nominations.,171031347.0,USA,07 Jun 2011,"Ethan Coen, Joel Coen","[Adventure, Drama, Western]",English,80.0,A tough U.S. Marshal helps a stubborn teenager track down her father's murderer.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNjAzODQ0N15BMl5BanBnXkFtZTcwODY2MjMyNA@@._V1_SX300.jpg,Paramount Pictures,PG-13,22 Dec 2010,True,110.0,True Grit,movie,http://www.truegritmovie.com/,"Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)",2010,58f85d9c0d39b85b3820838c,Western,tt1403865,1403865,7.7,"246,181",82459,0.330555555556,44264.0,"Girded by strong performances from Jeff Bridges, Matt Damon, and newcomer Hailee Steinfeld, and lifted by some of the Coens' most finely tuned, unaffected work, True Grit is a worthy companion to the Charles Portis book.",252,certified,96.0,8.4,262,10,http://www.rottentomatoes.com/m/true-grit-2010/,85.0,4.0,156467,173400000.0
2117,"Reese Witherspoon, Paul Rudd, Owen Wilson, Jack Nicholson",2 nominations.,30212620.0,USA,22 Mar 2011,James L. Brooks,"[Comedy, Drama, Romance]",English,46.0,"After being cut from the USA softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTQyMzU4OTk1N15BMl5BanBnXkFtZTcwNTE5MTUxNA@@._V1_SX300.jpg,Columbia Pictures,PG-13,17 Dec 2010,True,121.0,How Do You Know,movie,http://www.howdoyouknow-movie.com/,James L. Brooks,2010,58f85d9c0d39b85b3820838d,Comedy|Drama|Romance,tt1341188,1341188,5.4,"35,533",82499,0.15,42888.0,"How Do You Know boasts a quartet of likeable leads -- and they deserve better than this glib, overlong misfire from writer/director James L. Brooks.",47,rotten,32.0,4.9,147,100,http://www.rottentomatoes.com/m/how_do_you_know/,25.0,2.5,41788,172975674.0
2118,"Jim Broadbent, Ruth Sheen, Lesley Manville, Oliver Maltman",Nominated for 1 Oscar. Another 20 wins &amp; 52 nominations.,3200000.0,UK,07 Jun 2011,Mike Leigh,"[Comedy, Drama]",English,80.0,A look at four seasons in the lives of a happily married couple and their relationships with their family and friends.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5NzY5NTY2NF5BMl5BanBnXkFtZTcwNTg3NzIxNA@@._V1_SX300.jpg,Sony Classics,PG-13,04 Feb 2011,True,129.0,Another Year,movie,http://www.sonyclassics.com/anotheryear,Mike Leigh,2010,58f85d9c0d39b85b3820838e,Drama,tt1431181,1431181,7.3,"23,950",82463,0.0583333333333,44009.0,"Characterized by strong performances and the director's trademark feel for the nuances of everyday life, Another Year marks another solid entry in Mike Leigh's career of kitchen-sink English drama.",151,certified,92.0,8.2,164,13,http://www.rottentomatoes.com/m/another_year_2010/,74.0,3.6,20557,3261449.0
2119,"Paul Giamatti, Macha Grenon, Paul Gross, Atom Egoyan",Nominated for 1 Oscar. Another 18 wins &amp; 17 nominations.,7501404.0,"Canada, Italy",28 Jun 2011,Richard J. Lewis,"[Comedy, Drama]",English,67.0,"The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4MTUwNDg0OF5BMl5BanBnXkFtZTcwMjUyODYxNA@@._V1_SX300.jpg,Sony Classics,R,18 Feb 2011,True,134.0,Barney's Version,movie,http://www.sonyclassics.com/barneysversion,"Mordecai Richler (novel), Michael Konyves (screenplay)",2010,58f85d9c0d39b85b38208390,Drama,tt1423894,1423894,7.3,"21,315",82527,0.375,46829.0,"With a magnificent performance by Paul Giamatti, Barney's Version offers much comedy and insight to the complexities of modern romance.",105,certified,80.0,6.7,132,27,http://www.rottentomatoes.com/m/barneys-version/,78.0,3.7,18340,30194326.0
2120,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",Nominated for 1 Oscar. Another 10 wins &amp; 48 nominations.,172051787.0,USA,05 Apr 2011,Joseph Kosinski,"[Action, Adventure, Sci-Fi]",English,49.0,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_SX300.jpg,Walt Disney Pictures,PG,17 Dec 2010,True,125.0,TRON: Legacy,movie,http://Disney.com/TRON,"Edward Kitsis (screenplay), Adam Horowitz (screenplay), Edward Kitsis (story), Adam Horowitz (story), Brian Klugman (story), Lee Sternthal (story), Steven Lisberger (characters), Bonnie MacBird (characters)",2010,58f85d9c0d39b85b3820838f,Action|Adventure|Sci-Fi|IMAX,tt1104001,1104001,6.8,"267,643",82461,0.375,20526.0,"Tron Legacy boasts dazzling visuals, but its human characters and story get lost amidst its state-of-the-art production design.",117,rotten,51.0,5.9,229,112,http://www.rottentomatoes.com/m/10011582-TRON_legacy/,63.0,3.5,170625,7504196.0
2121,"Ben Affleck, Tommy Lee Jones, Chris Cooper, Suzanne Rico",2 wins &amp; 10 nominations.,4439063.0,"UK, USA",07 Jun 2011,John Wells,[Drama],English,69.0,"The story centers on a year in the life of three men trying to survive a round of corporate downsizing at a major company - and how that affects them, their families, and their communities.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxMTgyNDc5M15BMl5BanBnXkFtZTcwMzk4OTM5Mw@@._V1_SX300.jpg,The Weinstein Company,R,11 Feb 2011,True,104.0,The Company Men,movie,http://www.thecompanymenfilm.com/,John Wells,2010,58f85d9c0d39b85b38208392,Drama,tt1172991,1172991,6.8,"37,192",82534,0.341666666667,44129.0,"It might be hard for most viewers to identify with The Company Men's well-heeled protagonists, but writer/director John Wells uses their plight to make universally resonant points -- and gets the most out of his excellent cast.",108,fresh,67.0,6.4,162,54,http://www.rottentomatoes.com/m/the-company-men/,55.0,3.3,33787,4392722.5
2122,"Dwayne Johnson, Mauricio Lopez, Jim Gaines, Tom Berenger",5 nominations.,23225911.0,USA,01 Mar 2011,George Tillman Jr.,"[Action, Crime, Drama]",English,44.0,An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyOTQ5MTAxOF5BMl5BanBnXkFtZTcwOTYzMDg5Mw@@._V1_SX300.jpg,CBS Films,R,24 Nov 2010,True,98.0,Faster,movie,http://fasterthemovie.com/,"Tony Gayton, Joe Gayton",2010,58f85d9c0d39b85b38208391,Action|Crime|Drama,tt1433108,1433108,6.5,"81,738",82744,0.2,41283.0,"It's good to see Dwayne Johnson back in full-throttle action mode, but Faster doesn't deliver enough of the high-octane thrills promised by its title.",46,rotten,43.0,4.9,108,62,http://www.rottentomatoes.com/m/faster-2010/,49.0,3.3,45139,23196940.25
2123,"Nicole Kidman, Aaron Eckhart, Dianne Wiest, Miles Teller",Nominated for 1 Oscar. Another 7 wins &amp; 40 nominations.,2221809.0,USA,19 Apr 2011,John Cameron Mitchell,[Drama],English,76.0,Life for a happy couple is turned upside down after their young son dies in an accident.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzOTU0NjMxNF5BMl5BanBnXkFtZTcwNzc5MDUxNA@@._V1_SX300.jpg,Lionsgate Films,PG-13,28 Jan 2011,True,91.0,Rabbit Hole,movie,http://rabbitholefilm.com/,"David Lindsay-Abaire (screenplay), David Lindsay-Abaire (based on his play: ""Rabbit Hole"")",2010,58f85d9c0d39b85b38208393,Drama,tt0935075,935075,7.0,"41,041",82767,0.129166666667,27585.0,"It's often painful to watch, but Rabbit Hole's finely written script and convincing performances make it worth the effort.",164,certified,86.0,7.6,190,26,http://www.rottentomatoes.com/m/rabbit_hole/,72.0,3.6,31559,2197234.0
